HoursStudied,Attendance,ParentalInvolvement,AccessToResources,ExtracurricularActivities,SleepHours,PreviousScores,MotivationLevel,InternetAccess,TutoringSessions,FamilyIncome,TeacherQuality,SchoolType,PeerInfluence,PhysicalActivity,LearningDisabilities,ParentalEducationLevel,DistanceFromHome,Gender,ExamScore
20,74,0,1,0,8,89,-1,1,1,0,0,Public,-1,2,0,College,0,Female,66
11,78,1,0,1,8,100,1,1,1,-1,0,Public,0,3,0,1 School,0,Male,66
17,65,-1,1,1,5,75,0,1,2,-1,0,Public,1,3,0,1 School,1,Female,63
21,62,1,-1,1,6,54,1,1,0,1,1,Public,1,3,0,Postgraduate,-1,Male,64
13,91,-1,0,0,6,90,0,1,1,1,0,Public,-1,2,1,1 School,0,Female,65
22,83,1,1,1,6,94,0,1,0,1,0,Public,0,2,0,College,0,Male,71
16,90,0,0,0,4,58,0,1,1,-1,0,Public,0,3,0,1 School,0,Female,66
18,66,1,1,0,4,51,-1,1,2,-1,0,Private,0,2,0,College,1,Male,64
16,83,-1,0,0,6,57,0,1,0,1,-1,Public,1,4,1,1 School,1,Female,63
31,70,0,1,1,7,66,0,1,1,1,0,Public,-1,3,0,College,1,Male,69
20,69,0,0,1,8,96,0,1,2,0,1,Public,1,3,0,1 School,1,Male,67
14,60,1,0,0,5,50,0,1,2,0,0,Public,0,3,0,College,,Female,61
25,65,1,0,0,5,90,0,1,2,0,0,Public,1,3,0,College,0,Female,68
13,72,-1,0,0,6,93,-1,1,1,-1,0,Public,-1,3,0,1 School,1,Male,61
21,65,0,-1,1,7,91,-1,1,2,0,1,Public,1,3,0,1 School,-1,Female,64
8,99,0,0,0,9,54,-1,1,2,-1,0,Public,0,5,0,Postgraduate,1,Female,67
12,72,-1,0,1,8,84,0,1,1,-1,0,Public,1,5,0,1 School,1,Female,63
21,65,-1,0,1,6,98,-1,1,1,0,1,Public,-1,4,0,1 School,1,Male,64
24,68,1,0,0,8,56,-1,1,3,1,1,Public,0,1,0,College,1,Male,67
21,84,0,0,1,6,52,-1,1,1,0,1,Public,0,2,1,College,-1,Female,65
19,63,-1,1,0,7,94,0,1,1,0,0,Private,1,3,0,1 School,0,Male,64
18,94,0,1,1,7,82,0,1,3,0,0,Private,-1,2,1,College,1,Male,70
11,98,0,0,1,9,82,-1,1,1,0,0,Private,1,3,0,Postgraduate,-1,Male,68
16,70,0,0,1,8,98,0,1,2,0,0,Public,1,3,0,1 School,0,Male,65
17,78,0,0,1,6,88,0,1,1,0,1,Private,1,3,0,College,1,Female,68
26,61,0,-1,1,6,70,0,1,2,-1,0,Public,1,3,0,1 School,0,Female,64
22,86,-1,0,1,7,72,-1,1,3,-1,1,Public,1,2,0,1 School,0,Male,68
9,77,0,0,0,5,57,0,1,2,0,1,Public,0,3,0,1 School,1,Male,63
22,71,-1,0,1,7,65,-1,1,1,0,-1,Public,1,4,0,College,0,Male,64
18,68,1,0,0,7,72,0,1,0,0,0,Public,0,3,0,College,1,Male,64
16,86,-1,0,1,8,63,0,1,2,0,0,Public,1,4,0,1 School,1,Male,67
24,77,1,-1,0,8,96,0,1,0,0,0,Public,0,3,0,1 School,1,Female,67
26,67,0,1,1,7,51,-1,1,2,1,1,Private,0,4,1,Postgraduate,-1,Female,66
26,88,0,1,1,5,79,0,1,1,-1,1,Private,1,4,0,College,0,Male,72
15,83,0,1,0,5,89,-1,0,1,0,1,Public,0,2,1,1 School,1,Female,65
18,94,0,0,1,6,87,1,1,1,0,0,Public,1,4,0,1 School,1,Male,71
22,65,1,-1,0,8,82,0,1,2,0,1,Public,1,1,0,Postgraduate,1,Female,66
26,91,0,-1,1,8,71,0,1,0,-1,0,Private,0,3,0,1 School,0,Male,68
17,87,0,0,0,7,96,0,1,1,1,0,Public,-1,5,0,Postgraduate,1,Female,70
19,65,0,0,1,10,66,-1,1,0,-1,0,Public,1,3,0,1 School,0,Male,62
13,88,-1,1,1,9,88,1,1,2,-1,1,Private,-1,4,0,Postgraduate,-1,Male,68
13,78,0,1,1,9,96,1,1,2,-1,0,Public,0,3,0,College,0,Male,67
25,98,-1,1,1,8,56,0,0,0,0,1,Private,0,3,0,Postgraduate,1,Male,71
28,66,0,1,1,8,97,0,1,0,0,0,Public,0,2,0,1 School,1,Male,68
20,86,0,0,1,8,89,0,1,1,-1,0,Public,-1,3,0,Postgraduate,1,Male,69
26,75,-1,1,1,4,81,1,1,3,0,1,Private,1,2,0,1 School,0,Male,70
22,98,0,1,0,5,69,-1,0,1,-1,1,Public,-1,4,0,1 School,0,Female,69
16,73,0,0,0,7,95,0,1,1,-1,0,Public,-1,4,0,College,1,Male,65
22,98,0,-1,1,7,52,0,0,3,0,0,Public,1,3,0,College,1,Female,70
29,96,0,-1,1,7,72,0,1,1,-1,0,Public,1,3,0,1 School,0,Male,71
20,71,0,0,1,7,88,0,1,1,-1,-1,Public,0,4,0,College,1,Female,65
29,92,-1,0,0,4,91,0,1,2,0,0,Public,-1,1,0,Postgraduate,1,Female,72
4,100,1,1,1,8,60,1,1,0,0,1,Private,1,4,0,College,0,Male,69
25,70,0,0,0,7,52,0,1,1,0,0,Public,1,3,0,Postgraduate,1,Female,66
21,77,-1,0,1,7,90,0,1,4,0,0,Private,0,3,0,Postgraduate,0,Male,68
18,81,1,-1,1,8,71,0,1,0,0,0,Public,0,3,0,1 School,0,Female,65
21,72,0,0,1,5,57,0,1,1,1,0,Public,0,5,1,College,0,Male,64
8,61,0,0,1,7,54,0,1,1,1,0,Public,1,3,0,College,1,Male,60
19,69,0,1,1,7,82,1,1,1,-1,0,Public,-1,2,0,1 School,1,Male,65
22,71,1,0,0,6,79,1,1,1,-1,-1,Public,1,3,0,1 School,1,Male,66
29,78,1,1,1,4,93,-1,1,5,0,1,Public,0,3,0,College,1,Male,74
17,67,0,0,1,5,52,1,1,2,0,0,Private,-1,3,0,1 School,-1,Female,62
15,95,0,0,0,7,93,0,1,2,-1,0,Public,1,4,0,College,0,Male,70
17,88,0,1,1,7,94,-1,1,0,0,0,Public,0,3,0,1 School,1,Male,69
25,63,0,1,1,7,72,0,1,3,0,1,Private,-1,4,0,College,-1,Male,67
22,86,-1,-1,0,6,54,0,1,2,0,0,Public,0,0,0,1 School,0,Male,64
17,86,0,1,0,5,97,1,1,3,1,0,Public,0,3,0,College,1,Male,71
23,98,0,-1,1,7,54,-1,1,0,0,0,Public,-1,3,0,College,1,Female,68
21,60,1,0,0,7,80,0,1,0,0,1,Public,0,4,1,College,1,Male,64
26,70,0,-1,1,8,75,0,1,1,0,-1,Private,0,4,1,1 School,-1,Female,63
16,97,0,0,1,6,92,-1,1,0,1,0,Private,1,4,0,College,1,Male,71
18,97,1,0,1,4,75,-1,1,0,-1,0,Public,1,3,0,1 School,0,Male,69
18,89,1,0,1,4,73,0,1,3,1,0,Private,1,2,0,College,1,Female,100
11,91,0,0,0,6,94,0,1,3,0,0,Public,0,3,0,College,0,Male,68
22,64,-1,0,0,7,98,-1,0,1,0,0,Public,-1,3,0,1 School,1,Male,62
22,81,0,0,1,7,77,-1,1,2,0,0,Public,1,3,0,Postgraduate,-1,Female,68
20,69,1,1,1,6,73,0,1,2,-1,0,Private,1,3,0,1 School,-1,Male,66
19,67,-1,0,0,5,92,1,1,0,0,0,Public,1,3,0,College,1,Male,64
12,92,0,0,0,4,92,1,1,2,0,1,Public,0,3,1,1 School,0,Male,67
17,65,0,1,1,8,66,0,1,1,1,1,Public,0,4,1,Postgraduate,0,Female,65
18,79,0,0,1,7,79,0,1,0,-1,1,Private,0,3,0,College,-1,Male,65
15,98,1,0,0,6,58,1,1,0,-1,1,Public,1,3,0,College,1,Male,69
19,67,0,0,0,5,82,1,1,1,-1,-1,Private,-1,3,0,1 School,1,Male,63
22,99,0,-1,1,6,92,-1,1,3,0,0,Public,-1,4,0,Postgraduate,0,Male,72
31,100,0,0,0,7,59,0,1,2,1,1,Public,1,5,0,Postgraduate,0,Male,76
21,82,0,1,1,7,66,1,1,3,-1,0,Public,1,3,1,College,1,Female,69
22,67,0,0,1,7,72,1,1,3,-1,1,Public,1,2,0,Postgraduate,0,Female,67
20,73,1,0,1,9,92,0,1,2,0,1,Public,1,3,0,College,1,Male,69
8,77,1,0,1,6,87,0,1,0,-1,0,Public,0,2,0,1 School,0,Male,63
20,72,0,0,0,9,66,0,1,3,-1,1,Private,1,3,0,Postgraduate,1,Male,67
20,71,-1,1,1,7,62,1,1,2,0,0,Public,-1,5,0,College,1,Male,66
35,99,1,1,1,7,85,-1,1,2,0,1,Private,0,2,0,Postgraduate,1,Female,79
19,66,0,0,0,8,74,0,1,1,1,0,Public,0,3,0,1 School,1,Female,64
22,89,1,1,1,6,80,0,1,1,1,1,Public,1,3,0,1 School,1,Female,73
20,60,-1,1,0,7,82,1,1,2,-1,1,Public,1,4,1,1 School,1,Male,63
13,84,0,0,0,5,78,0,1,1,-1,1,Public,1,2,0,1 School,1,Male,65
27,97,-1,1,1,8,81,0,1,0,1,0,Public,1,5,0,1 School,1,Female,73
25,72,1,1,1,8,94,-1,1,2,-1,0,Private,1,4,0,College,0,Female,70
25,67,1,0,0,9,93,1,1,2,-1,1,Public,1,3,1,1 School,1,Female,68
15,86,0,0,1,7,57,0,1,1,0,0,Public,-1,3,0,College,1,Male,65
28,89,-1,1,1,9,79,1,1,0,-1,0,Private,1,1,0,College,0,Female,71
12,88,-1,0,0,6,72,-1,1,2,0,0,Public,1,2,0,College,-1,Male,64
24,73,0,1,1,8,64,0,1,4,1,0,Private,0,3,1,College,0,Male,68
33,70,0,0,1,6,82,-1,1,1,-1,1,Public,0,4,0,College,1,Male,69
14,98,0,0,0,7,76,0,1,0,0,1,Private,1,4,0,College,0,Female,69
17,97,0,0,0,8,89,0,1,1,-1,,Public,0,4,0,1 School,-1,Male,69
21,78,0,0,1,10,55,0,1,1,1,-1,Private,1,2,0,College,1,Male,67
17,94,-1,0,1,8,65,-1,1,4,0,0,Public,0,6,0,1 School,-1,Female,68
11,78,0,1,1,8,51,0,1,2,-1,0,Public,0,3,0,Postgraduate,1,Male,64
20,77,0,0,0,6,87,-1,1,0,-1,1,Public,1,4,0,1 School,1,Female,66
14,66,1,-1,0,7,96,0,1,3,-1,1,Public,-1,3,0,1 School,1,Male,63
23,77,0,0,1,7,79,0,1,0,-1,1,Public,0,2,0,1 School,0,Male,66
14,81,0,0,0,9,81,0,1,1,-1,1,Private,-1,3,0,Postgraduate,1,Female,66
29,61,0,1,1,7,52,-1,1,3,-1,0,Private,1,3,0,College,1,Female,67
15,78,1,1,0,9,75,-1,1,1,-1,0,Public,-1,1,0,1 School,1,Male,65
18,91,-1,0,1,5,76,0,1,1,0,0,Public,0,3,0,1 School,1,Female,68
25,87,0,-1,0,9,52,1,1,1,-1,1,Private,1,2,0,1 School,1,Male,68
13,85,1,0,0,6,89,0,1,0,1,0,Private,0,1,1,1 School,1,Male,65
21,96,0,0,0,8,64,1,1,2,0,1,Public,0,0,0,College,1,Male,71
28,61,0,1,0,6,86,1,1,1,-1,0,Private,-1,3,1,Postgraduate,-1,Male,65
10,82,0,-1,0,8,70,0,1,3,-1,1,Public,1,1,1,Postgraduate,1,Female,64
21,91,1,0,0,6,100,0,1,0,1,0,Private,0,2,0,Postgraduate,1,Female,72
22,82,0,0,0,9,61,0,1,2,-1,0,Public,-1,2,1,1 School,1,Female,65
25,73,0,1,0,8,53,1,0,0,-1,1,Private,-1,5,0,Postgraduate,1,Female,66
13,65,-1,1,0,6,99,0,1,0,-1,0,Private,-1,4,0,1 School,1,Male,61
12,96,-1,1,1,8,62,0,1,2,0,1,Public,-1,3,0,College,1,Female,68
23,79,1,1,1,8,82,-1,1,3,0,0,Public,-1,3,1,Postgraduate,0,Female,69
22,95,0,1,1,6,69,0,1,1,-1,0,Public,1,3,0,College,1,Female,72
22,83,0,1,1,5,82,0,1,2,-1,1,Public,1,3,0,Postgraduate,1,Female,71
22,87,1,1,0,5,80,-1,1,2,-1,1,Public,-1,3,0,1 School,1,Female,70
16,92,0,1,1,5,85,-1,1,1,-1,0,Public,0,2,0,1 School,0,Male,68
21,86,-1,0,1,5,51,0,1,2,-1,1,Public,1,2,0,1 School,0,Female,67
22,76,0,0,1,8,92,0,1,1,-1,1,Public,0,4,0,1 School,1,Female,68
16,81,0,0,1,8,74,0,1,3,0,0,Public,1,2,0,Postgraduate,1,Female,68
31,92,0,0,1,4,76,0,1,2,0,1,Public,1,4,1,1 School,-1,Male,72
23,75,-1,1,0,6,71,-1,1,0,0,0,Public,0,2,0,College,1,Male,65
13,76,0,1,0,5,99,-1,1,2,0,0,Private,1,4,0,1 School,1,Female,66
24,64,0,0,1,8,90,1,1,0,-1,1,Public,-1,3,0,1 School,1,Male,65
14,97,0,0,1,6,66,0,1,2,0,0,Public,-1,3,1,College,1,Female,67
25,64,0,1,0,5,89,-1,1,2,0,0,Public,0,4,0,College,-1,Male,66
27,86,0,0,0,7,72,-1,1,1,0,1,Public,1,4,0,1 School,-1,Male,69
15,77,0,0,1,8,94,-1,1,0,1,1,Public,1,3,0,College,0,Male,66
26,76,0,1,1,6,52,0,1,4,1,-1,Public,0,3,0,1 School,1,Male,69
22,87,1,-1,1,7,68,0,0,0,-1,0,Public,0,2,0,1 School,1,Male,67
25,63,1,0,1,6,71,0,1,1,0,-1,Private,1,3,0,1 School,1,Male,66
31,84,0,0,1,9,87,0,1,2,-1,0,Private,0,3,0,College,-1,Male,71
19,91,1,-1,0,6,59,0,1,5,0,1,Public,0,4,0,College,0,Male,70
15,93,1,0,0,6,64,0,1,2,0,1,Public,1,4,0,Postgraduate,1,Male,71
15,67,0,0,1,7,86,1,1,1,1,0,Private,1,3,0,Postgraduate,1,Male,66
15,96,0,0,0,7,54,1,0,3,0,1,Public,-1,2,0,1 School,1,Male,67
20,86,1,-1,0,8,60,0,1,1,0,0,Public,0,4,1,College,-1,Female,66
22,95,0,1,0,9,88,-1,1,0,-1,1,Public,1,2,0,Postgraduate,1,Male,72
22,79,0,0,0,9,94,0,1,1,0,0,Public,1,3,0,1 School,1,Male,68
25,82,0,0,0,6,86,0,0,3,-1,1,Public,1,3,0,1 School,1,Female,69
20,97,0,0,1,7,76,-1,1,2,-1,-1,Private,1,3,0,Postgraduate,1,Male,71
29,96,0,0,1,9,55,-1,0,0,0,0,Public,0,2,0,Postgraduate,-1,Female,70
18,78,0,0,0,9,91,1,1,2,1,-1,Public,0,4,0,College,-1,Female,67
36,71,0,0,1,6,56,0,1,2,1,0,Public,1,2,0,1 School,-1,Male,69
24,76,-1,1,0,8,69,-1,1,2,0,0,Public,0,1,0,1 School,0,Male,65
15,76,1,1,0,8,53,0,1,1,-1,0,Public,0,4,0,College,1,Male,65
14,71,0,0,1,8,85,-1,1,2,0,1,Public,0,4,0,1 School,1,Male,64
23,71,-1,-1,1,9,75,-1,1,1,-1,0,Public,-1,2,0,College,1,Male,63
19,94,-1,0,1,5,95,0,1,3,-1,-1,Public,1,2,0,1 School,0,Male,69
24,63,0,-1,1,6,57,0,1,1,-1,1,Private,0,5,0,College,1,Female,64
23,87,1,1,1,8,91,1,1,0,1,0,Private,1,3,0,1 School,0,Male,72
20,67,-1,0,1,7,76,0,1,0,0,0,Public,0,4,0,1 School,1,Male,63
15,74,-1,1,1,4,68,-1,1,3,-1,0,Public,1,3,0,1 School,1,Female,64
11,62,0,1,1,5,82,0,1,3,1,0,Private,0,4,0,College,0,Male,64
17,71,0,0,1,8,90,0,1,5,0,0,Public,1,1,0,Postgraduate,-1,Male,67
25,91,0,0,0,8,72,-1,1,2,0,1,Public,1,0,0,Postgraduate,1,Male,71
21,95,0,0,0,5,62,1,1,1,0,-1,Public,1,4,0,1 School,1,Male,70
13,69,0,-1,1,9,96,-1,1,0,1,0,Private,0,4,0,1 School,-1,Female,61
21,79,0,1,1,7,66,-1,1,2,-1,0,Public,-1,4,0,College,0,Male,67
22,79,1,0,0,5,100,0,1,4,1,1,Public,-1,3,0,College,1,Male,72
15,95,-1,-1,1,6,88,-1,1,1,-1,0,Public,-1,5,0,1 School,1,Male,66
21,91,0,1,1,5,84,0,1,1,1,-1,Public,0,2,0,1 School,1,Male,70
20,81,1,0,1,6,51,1,0,3,0,0,Public,0,4,1,1 School,1,Male,67
13,87,1,-1,1,4,72,0,1,2,0,1,Public,0,3,0,1 School,0,Female,67
22,94,-1,0,1,7,75,1,1,2,1,0,Public,0,2,0,College,1,Female,71
23,60,1,0,1,8,69,0,1,1,-1,0,Private,1,4,0,College,1,Male,66
26,76,0,0,1,5,57,0,1,1,0,0,Public,1,4,0,1 School,1,Male,68
26,96,0,0,1,7,68,0,1,3,1,0,Private,1,3,0,College,1,Female,74
12,90,0,-1,1,6,54,0,0,1,1,0,Public,0,3,0,1 School,1,Male,64
14,82,0,0,0,8,65,0,1,1,-1,0,Private,1,3,0,College,1,Male,65
23,81,-1,0,1,4,54,0,1,1,-1,0,Public,0,3,0,College,1,Male,66
23,74,0,1,1,8,88,-1,1,0,0,1,Public,-1,3,1,1 School,1,Male,66
23,81,0,-1,0,4,84,0,1,2,0,0,Public,1,5,0,1 School,1,Male,68
43,86,1,0,1,7,97,0,1,2,0,1,Public,1,1,0,1 School,1,Female,78
23,77,0,1,1,6,69,-1,1,1,0,0,Private,1,2,0,1 School,0,Female,67
27,89,0,1,1,6,89,0,1,3,0,0,Private,1,3,0,1 School,1,Male,74
26,94,0,1,0,5,79,1,1,1,-1,1,Public,1,2,0,Postgraduate,1,Male,74
24,66,0,-1,0,9,82,-1,1,1,0,0,Public,0,2,1,1 School,1,Female,62
18,78,1,0,1,5,77,0,0,2,0,0,Public,0,4,0,1 School,-1,Male,66
25,76,0,0,1,5,89,1,1,3,0,1,Public,0,3,0,1 School,-1,Female,69
15,87,0,1,1,10,52,0,1,2,-1,1,Private,1,3,0,College,1,Male,68
19,70,0,-1,0,7,54,1,1,0,0,0,Public,1,2,1,1 School,0,Male,89
17,86,1,-1,0,5,55,-1,0,2,1,0,Private,0,4,0,College,1,Male,66
20,95,-1,0,1,7,64,-1,0,2,0,1,Public,0,3,0,1 School,1,Female,68
34,77,0,-1,1,7,80,-1,1,0,0,0,Public,1,3,0,1 School,1,Male,69
9,96,0,0,1,4,82,1,0,0,-1,0,Public,1,4,0,College,1,Male,67
24,100,1,1,1,6,86,-1,1,2,0,0,Private,1,5,0,1 School,1,Male,75
10,64,0,1,0,7,64,1,1,0,0,0,Public,1,4,1,1 School,0,Female,60
17,69,1,0,1,9,83,0,1,2,0,1,Private,1,4,1,College,0,Female,66
27,98,-1,1,1,7,56,-1,1,1,1,0,Private,1,3,0,College,1,Female,73
20,98,0,-1,0,7,50,-1,1,1,0,1,Private,0,2,0,1 School,1,Female,68
14,64,0,0,1,6,85,0,1,0,0,0,Public,0,3,0,1 School,1,Male,62
16,61,0,0,0,9,86,-1,1,2,-1,1,Public,1,2,0,1 School,1,Male,62
24,66,1,-1,1,8,81,1,1,1,0,0,Public,0,4,0,1 School,-1,Male,65
16,100,1,-1,1,8,63,1,1,2,-1,0,Public,-1,3,0,1 School,0,Male,69
21,67,0,0,0,7,96,-1,1,3,-1,0,Public,0,2,0,1 School,-1,Female,64
20,80,0,1,0,5,94,0,1,0,-1,-1,Private,1,4,1,Postgraduate,0,Female,67
16,94,1,1,1,9,76,0,1,0,-1,1,Public,0,2,0,1 School,1,Male,70
33,61,0,0,0,7,99,1,1,2,0,1,Public,0,3,0,College,1,Female,70
24,84,1,-1,0,7,65,-1,1,3,0,1,Public,1,3,0,1 School,1,Female,69
8,71,1,-1,0,8,75,0,1,0,0,1,Public,1,3,0,1 School,1,Male,61
21,94,0,0,0,7,96,-1,1,0,0,0,Private,0,2,1,Postgraduate,0,Male,69
16,71,1,0,1,5,73,0,1,1,0,0,Public,0,0,1,1 School,1,Male,63
25,87,0,-1,1,7,74,-1,1,0,0,1,Public,0,4,1,1 School,1,Male,67
15,87,-1,0,0,4,54,0,1,1,0,0,Public,0,6,0,,0,Male,65
19,69,0,0,1,7,61,1,1,3,1,1,Public,0,4,0,1 School,0,Male,66
23,61,-1,0,0,9,58,0,1,4,0,0,Public,0,2,0,1 School,1,Male,63
25,76,0,1,1,4,78,0,1,2,0,0,Private,-1,3,0,1 School,0,Female,68
13,72,1,1,0,7,66,0,1,0,-1,1,Public,0,4,0,Postgraduate,1,Male,65
18,92,-1,0,1,8,54,0,1,1,0,0,Public,1,3,0,1 School,1,Male,67
17,92,-1,-1,1,8,75,0,1,2,0,1,Public,0,3,0,Postgraduate,1,Female,68
16,78,0,1,0,6,83,0,1,0,-1,-1,Public,0,3,1,College,1,Male,64
31,84,0,0,0,5,87,1,1,0,0,0,Private,1,3,0,College,0,Male,71
22,84,0,0,1,6,92,-1,1,0,0,0,Public,0,5,0,1 School,1,Female,69
12,93,0,0,1,9,74,-1,1,1,0,0,Public,0,3,0,Postgraduate,0,Male,67
26,77,-1,0,0,4,70,-1,1,2,1,-1,Public,0,3,1,College,0,Female,65
33,71,-1,0,0,5,84,0,1,1,0,0,Public,1,2,0,1 School,1,Male,68
26,71,1,0,1,6,51,-1,0,1,1,0,Private,1,3,0,Postgraduate,0,Male,67
11,81,0,0,1,6,82,1,1,3,0,1,Public,0,4,0,1 School,1,Male,67
17,78,0,1,1,7,70,0,0,2,-1,1,Public,1,3,0,1 School,1,Male,66
28,78,1,0,0,9,73,1,1,2,0,0,Public,0,4,0,College,0,Female,70
16,64,1,-1,1,5,65,0,1,3,0,1,Private,1,4,0,Postgraduate,0,Female,65
23,89,-1,-1,1,7,56,-1,1,4,0,-1,Private,1,4,0,Postgraduate,1,Female,69
25,69,0,0,1,7,70,-1,0,1,1,1,Public,1,4,0,1 School,-1,Female,65
14,68,1,0,0,6,65,0,1,1,1,0,Public,0,3,1,College,1,Male,63
20,77,0,0,0,5,98,-1,1,2,-1,1,Private,0,2,0,Postgraduate,-1,Female,67
1,69,1,0,1,6,97,0,1,1,-1,0,Public,1,3,0,1 School,1,Female,61
14,83,0,-1,1,6,82,0,1,0,0,0,Public,1,2,0,1 School,1,Female,65
18,75,-1,1,1,8,95,0,1,1,-1,-1,Public,0,2,0,College,1,Female,66
13,78,0,1,1,8,88,1,1,0,1,-1,Public,0,3,0,College,1,Male,66
30,81,0,-1,1,5,67,0,1,1,1,1,Public,-1,1,0,1 School,1,Male,69
11,68,0,0,0,6,80,0,1,2,0,0,Public,1,3,0,College,0,Female,63
17,66,-1,1,0,6,61,0,1,1,1,0,Public,1,6,0,Postgraduate,1,Male,65
21,95,-1,-1,0,10,84,-1,1,0,1,0,Public,0,4,1,1 School,1,Male,67
29,77,1,1,1,7,52,0,1,2,1,0,Public,-1,3,1,1 School,1,Female,69
11,76,-1,0,1,5,92,0,1,4,0,-1,Public,-1,2,0,Postgraduate,1,Male,65
27,61,0,0,0,6,79,0,1,1,-1,0,Public,1,3,0,1 School,0,Male,65
20,80,1,-1,1,6,53,0,1,0,-1,0,Public,0,2,0,College,0,Male,65
14,82,0,1,1,8,94,-1,1,2,-1,1,Public,-1,5,0,College,-1,Female,67
23,82,-1,0,1,8,94,0,1,1,0,0,Public,-1,2,1,1 School,,Male,66
21,88,0,1,0,7,93,0,1,4,-1,0,Public,1,3,0,1 School,1,Female,72
16,67,0,1,0,7,89,1,1,3,-1,0,Public,1,3,0,College,1,Male,66
20,70,0,0,1,7,84,-1,0,2,0,1,Private,0,4,0,College,-1,Male,65
18,92,1,0,1,7,70,0,1,1,-1,0,Public,0,3,0,1 School,0,Male,69
21,98,0,-1,0,4,57,0,1,2,1,-1,Public,0,2,0,1 School,1,Female,68
24,65,0,-1,0,7,64,-1,1,1,1,0,Public,0,1,0,Postgraduate,1,Male,64
30,80,-1,1,0,6,67,0,1,3,0,0,Public,-1,4,0,College,0,Female,69
13,69,0,-1,1,5,68,-1,1,0,1,0,Public,1,1,1,1 School,0,Female,59
33,62,1,0,1,10,78,0,1,0,0,0,Private,1,3,0,1 School,0,Female,68
8,73,0,0,0,7,60,0,0,0,1,0,Private,0,3,0,1 School,1,Female,60
19,66,0,1,0,7,59,0,1,1,1,0,Public,-1,3,0,1 School,-1,Male,62
24,88,-1,0,1,6,86,-1,1,0,-1,-1,Public,-1,3,0,College,1,Male,67
22,81,-1,1,1,8,50,1,1,4,0,0,Private,1,5,0,1 School,-1,Female,68
16,66,0,1,1,5,57,1,1,3,0,0,Public,1,3,0,1 School,0,Female,64
19,60,0,1,1,7,72,1,1,3,-1,1,Public,1,3,0,1 School,0,Female,65
17,92,-1,-1,1,6,57,0,1,2,0,0,Private,1,2,1,1 School,0,Female,65
16,67,1,0,0,8,98,0,1,0,-1,-1,Public,0,3,0,1 School,1,Female,63
25,84,0,-1,1,6,84,-1,1,2,0,1,Public,1,3,0,1 School,1,Male,70
22,73,-1,0,1,9,72,-1,1,3,0,0,Public,1,3,0,1 School,1,Female,66
16,83,0,1,1,7,56,-1,1,4,1,0,Public,1,3,0,1 School,1,Female,68
25,73,-1,-1,0,8,69,0,1,3,0,0,Private,1,3,0,1 School,1,Female,66
22,63,-1,-1,0,8,83,0,1,3,0,0,Private,-1,1,0,College,1,Male,63
25,69,1,0,1,9,98,0,1,1,-1,0,Public,-1,3,1,College,0,Female,66
24,68,0,0,1,6,74,0,1,1,0,0,Public,0,3,0,1 School,1,Female,65
15,77,0,0,1,8,85,1,1,1,-1,0,Public,1,2,0,Postgraduate,0,Male,66
17,86,1,-1,1,4,60,1,1,2,1,-1,Private,1,3,1,College,0,Female,67
